||2|902 146202|black
1184372||7|902 899 779 217 170 349 113|black
1184672||9|902 899 779 217 210 249 323 125 466|black
11850636||5|902 899 779 217 219|black
1186161||6|902 899 779 217 219 286|black
1189||4|902 899 779 810|black
118946||8|902 899 779 217 210 249 323 325|black
1190||8|902 899 779 217 170 691 830 986|black
11924358||6|902 899 779 217 245 968|black
119271||4|902 899 779 364|black
1193846||6|902 899 779 217 219 286|black
1194||7|902 899 779 810 921 917 897|black
1194747||8|902 899 779 217 210 249 323 125|black
1194877||5|902 899 779 364 176|black
119724||8|902 899 779 217 210 249 323 320|black
1198589||5|902 899 779 217 170|black
1198699||6|902 899 779 217 261 881|black
1199147||6|902 899 779 217 245 494|black
119935||6|902 899 779 217 245 494|black
1201960||6|902 899 779 364 912 484|black
1203356||7|902 899 779 217 209 239 253|black
1203365||5|902 899 779 810 921|black
12034||4|902 899 779 364|black
1205537||6|902 899 779 217 215 387|black
1206625||6|902 899 779 217 298 363|black
121|4315,160253,264724,265042,329789,359849,391664,658420,667648,1252938,1253058,8355841,12380640|9999||white
1211003||4|902 899 779 222|black
12113||4|902 899 779 810|black
1211867||4|902 899 779 810|black
1212111||6|902 899 779 217 245 494|black
121303||6|902 899 779 364 176 371|black
1218||6|902 899 779 810 921 917|black
1220626||10|902 899 779 217 210 249 323 125 937 697|gray
122279||6|902 899 779 217 219 286|black
12262519||6|902 899 779 217 219 286|black
1228702||9|902 899 779 217 210 249 323 125 466|black
123|21544,29953,33708,51850,77367,77539,96454,96542,105659,125655,134676,169632,173927,184962,202744,211307,221024,232600,239912,240043,246159,259050,270511,310189,367201,375221,387719,392280,409039,542315,565579,613346,643507,648765,720508,743487,794202,862114,882824,885681,908404,930009,930889,931617,973296,1093328,1127743,1160569,1213625,1238004,1384995,1452890,1470840,1681233,1714161,1718435,1739853,1772370,1783706,1845982,1906500,1919396,1951911,1954836,1975151,2060703,2180097,2232023,2233728,2343173,2353468,2376601,2445888,2668662,2814470,2877335,3580196,4029726,4922035,4968839,5318992,5432306,5544587,5778421,5882138,6364978,11081025|9999||white
1237900||6|902 899 779 217 261 881|black
124269||7|902 899 779 810 921 917 897|black
1243206||5|902 899 779 364 912|black
12433799||8|902 899 779 217 170 691 830 986|black
1246||8|902 899 779 217 210 249 323 325|black
125|101,319,320,321,323,325,326,327,330,335,337,339,372,384,449,466,472,506,511,937,1817,8490,17853,21359,61528,206906,335386,351253,378198,500821,918831,1097385,1194747,2255890,6366331,16632545,40141820|7|902 899 779 217 210 249 323|black
1253887||6|902 899 779 364 176 371|black
125553||10|902 899 779 217 210 249 323 125 466 180|gray
1258540||6|902 899 779 364 912 484|black
1262||6|902 899 779 364 912 484|black
1267591||6|902 899 779 217 245 505|black
1268057||6|902 899 779 217 261 881|black
127006||4|902 899 779 810|black
12731516||7|902 899 779 217 170 691 830|black
127479||4|902 899 779 810|black
127496||6|902 899 779 364 176 371|black
1275000||7|902 899 779 810 921 917 897|black
1276497||10|902 899 779 217 210 249 323 125 937 697|gray
12773296||6|902 899 779 217 261 881|black
1278005||9|902 899 779 217 210 249 323 320 328|black
1278529||4|902 899 779 810|black
1278654||6|902 899 779 217 261 881|black
1281750||9|902 899 779 217 210 249 323 125 339|black
1284434||6|902 899 779 217 219 286|black
1284480||5|902 899 779 810 921|black
1285753||4|902 899 779 364|black
1288244||6|902 899 779 217 219 286|black
129|136,250,258,278,281,284,307,402,406,2460296|9999||white
1291||6|902 899 779 364 912 484|black
1292758||5|902 899 779 217 948|black
1293254||7|902 899 779 364 912 484 569|black
1300029||10|902 899 779 217 210 249 323 125 937 697|gray
1301440||7|902 899 779 810 921 917 897|black
13077719||6|902 899 779 810 921 924|black
1310167||9|902 899 779 217 210 249 323 125 937|black
1311523||7|902 899 779 810 921 917 897|black
1311561||6|902 899 779 217 261 881|black
131348||7|902 899 779 217 170 349 297|black
1314868||7|902 899 779 810 921 917 897|black
13176585||6|902 899 779 217 170 806|black
1320717||6|902 899 779 217 261 881|black
13219604||7|902 899 779 810 921 917 897|black
13232431||6|902 899 779 217 261 881|black
1325592||7|902 899 779 810 921 917 897|black
13291796||6|902 899 779 217 261 881|black
1330||7|902 899 779 217 170 691 809|black
13317||6|902 899 779 810 921 917|black
13319534||6|902 899 779 217 261 881|black
1334765||6|902 899 779 217 209 239|black
1335862||5|902 899 779 217 245|black
1336999||6|902 899 779 217 245 505|black
1337893||6|902 899 779 364 176 371|black
134|107,166,172,671,71994,137315,349531,857247,858599,923556,995675,1323582,3358865,3372812,3549666,4407092,22937652|9999||white
13411||7|902 899 779 217 298 363 445|black
1348014||6|902 899 779 217 298 363|black
1349590||7|902 899 779 810 921 917 897|black
13497929||5|902 899 779 810 921|black
13583546||4|902 899 779 364|black
1359396||6|902 899 779 217 210 249|black
136|129,18343624|9999||white
1361168||4|902 899 779 364|black
1366985||10|902 899 779 217 210 249 323 125 466 945|gray
13670616||10|902 899 779 217 210 249 323 125 466 180|gray
1367068||6|902 899 779 217 245 273|black
1371||10|902 899 779 217 210 249 323 125 937 697|gray
1371762||6|902 899 779 217 261 881|black
1372949||6|902 899 779 217 261 881|black
1380||7|902 899 779 217 170 691 812|black
1387439||10|902 899 779 217 210 249 323 125 466 945|gray
13926931||6|902 899 779 217 245 494|black
1393||4|902 899 779 810|black
139719||8|902 899 779 217 210 249 323 325|black
13995865||6|902 899 779 217 298 363|black
14011558||6|902 899 779 810 921 917|black
1403994||4|902 899 779 810|black
140416||6|902 899 779 217 219 286|black
140625||7|902 899 779 364 912 484 542|black
1406915||4|902 899 779 364|black
14094||8|902 899 779 217 170 349 388 408|black
1411149||4|902 899 779 810|black
1415193||8|902 899 779 217 170 349 388 408|black
1416551||5|902 899 779 217 245|black
1428026||6|902 899 779 217 210 249|black
1428226||4|902 899 779 364|black
1438728||6|902 899 779 217 210 249|black
1443||6|902 899 779 217 170 349|black
14476676||9|902 899 779 217 210 249 323 125 466|black
145150||6|902 899 779 217 210 249|black
1455193||6|902 899 779 217 261 881|black
14568569||6|902 899 779 217 245 494|black
1457332||10|902 899 779 217 210 249 323 325 348 329|gray
1458181||4|902 899 779 364|black
1459690||5|902 899 779 364 176|black
146|147,149,151,163,460,621,13895,17783,19257,23062,24222,26122,27005,28996,32564,37746,38478,49918,55174,55594,55674,70215,77530,81478,81718,82385,91212,106796,117425,127856,133620,145126,147351,153411,163286,196278,215988,219151,220935,258938,269162,284895,296680,305443,315630,325399,329832,331441,342593,345655,380067,388712,391959,402334,409808,411465,459228,483360,529391,557438,619944,621379,621840,623189,652880,664496,703401,747333,778868,792993,878797,908153,908694,909222,939728,977237,1007000,1018170,1058666,1074687,1106549,1175603,1183405,1238407,1246381,1256706,1272187,1272794,1300264,1326533,1348075,1476561,1478656,1487649,1494258,1498379,1509040,1739724,1747139,1878149,1905899,1962759,2012419,2030102,2069512,2099399,2105896,2176343,2205582,2238175,2361330,2425756,2430575,2579836,2609870,2802562,2998178,3097025,3223825,3702157,4720236,4840613,5411790,5947199,6556768,6873038,7430964,7463887,7601612,8853536,10455760,11377170|9999||white
146202||1|902|black
1464363||10|902 899 779 217 210 249 323 125 937 697|gray
1464449||6|902 899 779 364 912 484|black
1465652||7|902 899 779 364 912 484 569|black
1465791||5|902 899 779 217 219|black
1468313||1|902|black
147|146,149,151,163,13895,22339,24285,25569,26186,31114,37746,43469,55174,55594,61500,70215,76928,80334,81478,81718,81797,86756,91212,93955,106796,117425,120063,138657,145126,147351,180113,204153,208203,217027,232260,234047,245716,285395,289716,306697,310000,331441,339200,368822,388572,389680,391170,402043,411465,424057,469090,483360,531502,540638,596082,621379,621840,630715,681833,712289,747333,754808,778868,786761,793681,816087,857115,894615,913804,952837,954814,977237,987240,1000248,1013137,1049764,1074687,1106549,1140309,1146177,1202781,1256706,1392497,1439000,1478656,1498379,1533034,1559923,1588851,1629004,1637179,1686440,1831989,1912403,1920568,2030273,2043857,2069512,2099399,2192595,2279770,2309407,2425756,2609870,2624783,2703261,2970346,3028182,3326850,3353119,3355122,3495726,5051418,5947199,6873038,7223616,7463887,7698362,9210001,9741178|9999||white
147070||1|902|black
147116||1|902|black
1475118||4|902 899 779 222|black
1476182||6|902 899 779 217 261 881|black
1476577||6|902 899 779 217 170 806|black
1478269||6|902 899 779 217 261 881|black
1478406||5|902 899 779 364 176|black
1478686||5|902 899 779 810 921|black
14788682||8|902 899 779 217 170 691 830 986|black
14793607||6|902 899 779 810 921 924|black
147947||9|902 899 779 217 210 249 323 125 337|black
148391||5|902 899 779 364 176|black
149|146,147,163,460,101044,117425,145126,234047,621379,1003189,1175603,1256706,1511908,1525049,1695830,2030273,4452175,4858572,5947199,9069765|9999||white
149104||9|902 899 779 217 210 249 323 125 466|black
1494687||6|902 899 779 364 912 484|black
1494896||4|902 899 779 810|black
1496762||6|902 899 779 217 261 881|black
1497421||6|902 899 779 217 219 286|black
150069||1|902|black
150120||1|902|black
1501861||7|902 899 779 810 921 917 897|black
1506516||9|902 899 779 217 210 249 323 125 466|black
15127758||10|902 899 779 217 210 249 323 125 466 180|gray
15127825||10|902 899 779 217 210 249 323 125 466 180|gray
1517463||6|902 899 779 217 261 881|black
15193335||4|902 899 779 364|black
15216102||5|902 899 779 217 876|black
152358||8|902 899 779 217 210 249 323 325|black
1524520||6|902 899 779 217 261 881|black
1526||10|902 899 779 217 210 249 323 125 466 180|gray
15261143||6|902 899 779 217 245 494|black
1528946||7|902 899 779 217 298 363 973|black
1529||9|902 899 779 217 210 249 323 125 466|black
1529145||10|902 899 779 217 210 249 323 125 330 331|gray
15323141||10|902 899 779 217 210 249 323 125 466 180|gray
15334718||10|902 899 779 217 210 249 323 125 466 180|gray
15434670||6|902 899 779 810 921 917|black
1546||5|902 899 779 810 921|black
1551814||4|902 899 779 810|black
1554071||5|902 899 779 810 921|black
1556722||5|902 899 779 364 176|black
1556782||6|902 899 779 217 261 881|black
156|51872,120572,121083,145126,176588,334661,397370,437752,600904,849443,905547,920298,1072128,1072339,1076897,1454661,4977466,9612920,9647504,9648630,14127480,19506762|9999||white
15652||6|902 899 779 217 245 494|black
1566513||7|902 899 779 364 912 484 569|black
1570813||5|902 899 779 364 176|black
15718244||6|902 899 779 217 261 881|black
15719227||6|902 899 779 217 261 881|black
15720||10|902 899 779 217 210 249 323 125 937 697|gray
1574376||5|902 899 779 364 176|black
157454||9|902 899 779 217 210 249 323 125 937|black
15769809||4|902 899 779 810|black
158|14697,208960,552955,1093981,3171258|9999||white
15827855||6|902 899 779 217 261 881|black
15832||5|902 899 779 217 237|black
1584431||9|902 899 779 217 210 249 323 125 466|black
1588142||5|902 899 779 364 176|black
15903714||5|902 899 779 217 876|black
15914545||6|902 899 779 217 261 881|black
1593754||9|902 899 779 217 210 249 323 125 937|black
1594776||6|902 899 779 810 921 924|black
1597||9|902 899 779 217 210 249 323 125 466|black
15979481||5|902 899 779 217 219|black
1599||9|902 899 779 217 210 249 323 125 466|black
1599093||5|902 899 779 364 176|black
16024995||6|902 899 779 217 261 881|black
